b'\xd0\x9e\xd1\x80\xd0\xb8\xd0\xb3\xd0\xb8\xd0\xbd\xd0\xb0\xd0\xbb\xd1\x8c\xd0\xbd\xd1\x8b\xd0\xb5 iPhone 6 \xd1\x81 \xd0\xb3\xd0\xb0\xd1\x80\xd0\xb0\xd0\xbd\xd1\x82\xd0\xb8\xd0\xb5\xd0\xb9',b'https://www.avito.ru/ryazan/telefony/originalnye_iphone_6_s_garantiey_965563517',b'',b'\xd0\xa1\xd0\xb5\xd0\xb3\xd0\xbe\xd0\xb4\xd0\xbd\xd1\x8f 16:00'
b'iPhone 6 16/32/64Gb A1586',b'https://www.avito.ru/ryazan/telefony/iphone_6_163264gb_a1586_844510866',b'',b'\xd0\xa1\xd0\xb5\xd0\xb3\xd0\xbe\xd0\xb4\xd0\xbd\xd1\x8f 12:44'
b'iPhone 6/6s \xd0\xbd\xd0\xbe\xd0\xb2\xd1\x8b\xd0\xb5',b'https://www.avito.ru/ryazan/telefony/iphone_66s_novye_911882090',b'',b'\xd0\x92\xd1\x87\xd0\xb5\xd1\x80\xd0\xb0 19:13'
b'iPhone 6',b'https://www.avito.ru/ryazan/telefony/iphone_6_1035690482',b'',b'\xd0\xa1\xd0\xb5\xd0\xb3\xd0\xbe\xd0\xb4\xd0\xbd\xd1\x8f 15:06'
b'iPhone 6 gold',b'https://www.avito.ru/ryazan/telefony/iphone_6_gold_1039366872',b'',b'\xd0\xa1\xd0\xb5\xd0\xb3\xd0\xbe\xd0\xb4\xd0\xbd\xd1\x8f 14:37'
b'iPhone 6 16Gb \xd0\xbd\xd0\xbe\xd0\xb2\xd1\x8b\xd0\xb9 + \xd0\xb3\xd0\xb0\xd1\x80\xd0\xb0\xd0\xbd\xd1\x82\xd0\xb8\xd1\x8f',b'https://www.avito.ru/ryazan/telefony/iphone_6_16gb_novyy_garantiya_1109063192',b'',b'\xd0\xa1\xd0\xb5\xd0\xb3\xd0\xbe\xd0\xb4\xd0\xbd\xd1\x8f 09:28'
b'iPhone 6',b'https://www.avito.ru/ryazan/telefony/iphone_6_1125314253',b'',b'\xd0\x92\xd1\x87\xd0\xb5\xd1\x80\xd0\xb0 21:20'
b'iPhone 6 64 \xd0\x93\xd0\xb1 \xd0\xa0\xd1\x81\xd1\x82 Silver',b'https://www.avito.ru/ryazan/telefony/iphone_6_64_gb_rst_silver_1012882073',b'',b'\xd0\x92\xd1\x87\xd0\xb5\xd1\x80\xd0\xb0 23:40'
b'iPhone 6',b'https://www.avito.ru/ryazan/telefony/iphone_6_1043587885',b'',b'\xd0\x92\xd1\x87\xd0\xb5\xd1\x80\xd0\xb0 22:28'
b'iPhone 6 space gray',b'https://www.avito.ru/ryazan/telefony/iphone_6_space_gray_1163103330',b'',b'\xd0\x92\xd1\x87\xd0\xb5\xd1\x80\xd0\xb0 03:21'
